"PRODUCTID";"CODE_QUALIAC"
"CAT_ZHV";"ZHV"
"CAT_ZLO";"ZLO"
"CAT_9PP";"9PP"
"CAT_ZRE";"ZRE"
"CAT_8AT";"8AT"
"CAT_8EC";"8EC"
"CAT_9AG";"9AG"
"CAT_9VT";"9VT"
"CAT_9CD";"9CD"
"CAT_1CB";"1CB"
"CAT_F**";"F**"
"CAT_1II";"1II"
"CAT_1OO";"1OO"
"CAT_1RO";"1RO"
"CAT_1TT";"1TT"
"CAT_9CV";"9CV"
"CAT_9PO";"9PO"
"CAT_P**";"P**"
"CAT_3**";"3**"
"CAT_PHA";"PHA"
"CAT_4**";"4**"
"CAT_RCA";"RCA"
"CAT_RCO";"RCO"
"CAT_533";"533"
"CAT_535";"535"
"CAT_RFA";"RFA"
"CAT_RIN";"RIN"
"CAT_RON";"RON"
"CAT_5GR";"5GR"
"CAT_9ME";"9ME"
"CAT_U**";"U**"
"CAT_Z02";"Z02"
"CAT_Z04";"Z04"
"CAT_Z05";"Z05"
"CAT_9ON";"9ON"
"CAT_9OR";"9OR"
"CAT_809GY";"809GY"
"CAT_ZCI";"ZCI"
"CAT_ZDI";"ZDI"
"CAT_809PE";"809PE"
"CAT_9PE";"9PE"
"CAT_80F";"80F"
"CAT_9AN";"9AN"
"CAT_9ST";"9ST"
"CAT_9CC";"9CC"
"CAT_1CC";"1CC"
"CAT_9CH";"9CH"
"CAT_F21";"F21"
"CAT_1RA";"1RA"
"CAT_9CT";"9CT"
"CAT_9MG";"9MG"
"CAT_803DT";"803DT"
"CAT_804";"804"
"CAT_9NP";"9NP"
"CAT_Z**";"Z**"
"CAT_9OF";"9OF"
"CAT_809";"809"
"CAT_802AD";"802AD"
"CAT_9PQ";"9PQ"
"CAT_ZPH";"ZPH"
"CAT_811";"811"
"CAT_9RM";"9RM"
"CAT_9**";"9**"
"CAT_9SM";"9SM"
"CAT_I**";"I**"
"CAT_9CW";"9CW"
"CAT_204";"204"
"CAT_T**";"T**"
"CAT_Y**";"Y**"
"CAT_9NU";"9NU"
"CAT_9OT";"9OT"
"CAT_ZFA";"ZFA"
"CAT_RSR";"RSR"
"CAT_802DT";"802DT"
"CAT_803";"803"
"CAT_806";"806"
"CAT_Z10";"Z10"
"CAT_809EH";"809EH"
"CAT_80D";"80D"
"CAT_800";"800"
"CAT_9MI";"9MI"
"CAT_9NE";"9NE"
"CAT_807";"807"
"CAT_809DE";"809DE"
"CAT_9OP";"9OP"
"CAT_Z99";"Z99"
"CAT_9PL";"9PL"
"CAT_9PT";"9PT"
"CAT_9UG";"9UG"
"CAT_9BI";"9BI"
"CAT_K**";"K**"
"CAT_M**";"M**"
"CAT_202";"202"
"CAT_2CC";"2CC"
"CAT_9DD";"9DD"
"CAT_9DT";"9DT"
"CAT_2GR";"2GR"
"CAT_9EHDT";"9EHDT"
"CAT_9EI";"9EI"
"CAT_R**";"R**"
"CAT_505";"505"
"CAT_9GE";"9GE"
"CAT_9GY";"9GY"
"CAT_9HE";"9HE"
"CAT_599";"599"
"CAT_8**";"8**"
"CAT_RSI";"RSI"
"CAT_RVM";"RVM"
"CAT_802";"802"
"CAT_9MN";"9MN"
"CAT_RVR";"RVR"
"CAT_9MP";"9MP"
"CAT_S**";"S**"
"CAT_9MS";"9MS"
"CAT_W**";"W**"
"CAT_805";"805"
"CAT_9OB";"9OB"
"CAT_80N";"80N"
"CAT_80P";"80P"
"CAT_ZMC";"ZMC"
"CAT_ZPU";"ZPU"
"CAT_899";"899"
"CAT_9AL";"9AL"
"CAT_9UT";"9UT"
"CAT_G09";"G09"
"CAT_9CS";"9CS"
"CAT_9EH";"9EH"
"CAT_PRU";"PRU"
"CAT_5**";"5**"
"CAT_501";"501"
"CAT_502";"502"
"CAT_9EN";"9EN"
"CAT_R8";"R8"
"CAT_9HM";"9HM"
"CAT_544";"544"
"CAT_801";"801"
"CAT_9MT";"9MT"
"CAT_Z00";"Z00"
"CAT_806AD";"806AD"
"CAT_Z01";"Z01"
"CAT_9OC";"9OC"
"CAT_806DT";"806DT"
"CAT_9OD";"9OD"
"CAT_Z03";"Z03"
"CAT_9OE";"9OE"
"CAT_808";"808"
"CAT_ZAC";"ZAC"
"CAT_80M";"80M"
"CAT_9PU";"9PU"
"CAT_9PY";"9PY"
"CAT_999";"999"
"CAT_J**";"J**"
"CAT_201";"201"
"CAT_9MH";"9MH"
"CAT_809ME";"809ME"
"CAT_9PA";"9PA"
"CAT_809MG";"809MG"
"CAT_9PC";"9PC"
"CAT_9PD";"9PD"
"CAT_80B";"80B"
"CAT_ZHC";"ZHC"
"CAT_9PH";"9PH"
"CAT_9AU";"9AU"
"CAT_9CB";"9CB"
"CAT_C**";"C**"
"CAT_9CG";"9CG"
"CAT_1CR";"1CR"
"CAT_1DD";"1DD"
"CAT_9CN";"9CN"
"CAT_MCE";"MCE"
"CAT_Q**";"Q**"
"CAT_9EL";"9EL"
"CAT_RAC";"RAC"
"CAT_530";"530"
"CAT_RDI";"RDI"
"CAT_RDR";"RDR"
"CAT_536";"536"
"CAT_540";"540"
"CAT_RGY";"RGY"
"CAT_RMC";"RMC"
"CAT_RPS";"RPS"
"CAT_9IP";"9IP"
"CAT_RRH";"RRH"
"CAT_9KI";"9KI"
"CAT_6**";"6**"
"CAT_ZME";"ZME"
"CAT_ZMV";"ZMV"
"CAT_80T";"80T"
"CAT_9PW";"9PW"
"CAT_ZR1";"ZR1"
"CAT_ZR4";"ZR4"
"CAT_9RE";"9RE"
"CAT_8F0DT";"8F0DT"
"CAT_8O";"8O"
"CAT_9RT";"9RT"
"CAT_9SL";"9SL"
"CAT_9TB";"9TB"
"CAT_A**";"A**"
"CAT_9CF";"9CF"
"CAT_1CM";"1CM"
"CAT_9CM";"9CM"
"CAT_G**";"G**"
"CAT_2GN";"2GN"
"CAT_9DV";"9DV"
"CAT_9EG";"9EG"
"CAT_PVO";"PVO"
"CAT_9EV";"9EV"
"CAT_9GA";"9GA"
"CAT_RCV";"RCV"
"CAT_9GN";"9GN"
"CAT_9HG";"9HG"
"CAT_9HL";"9HL"
"CAT_9IE";"9IE"
"CAT_9IF";"9IF"
"CAT_80MDT";"80MDT"
"CAT_9RD";"9RD"
"CAT_9RF";"9RF"
"CAT_9AR";"9AR"
"CAT_9UR";"9UR"
"CAT_1AS";"1AS"
"CAT_FEC";"FEC"
"CAT_1DI";"1DI"
"CAT_1GP";"1GP"
"CAT_1PH";"1PH"
"CAT_2GC";"2GC"
"CAT_N**";"N**"
"CAT_504";"504"
"CAT_9EX";"9EX"
"CAT_531";"531"
"CAT_532";"532"
"CAT_9HO";"9HO"
"CAT_9IM";"9IM"
"CAT_5DI";"5DI"
"CAT_5MR";"5MR"
"CAT_RRO";"RRO"
"CAT_RRR";"RRR"
"CAT_810";"810"
"CAT_ZR3";"ZR3"
"CAT_89";"89"
"CAT_8A9";"8A9"
"CAT_9RP";"9RP"
"CAT_9SA";"9SA"
"CAT_9AC";"9AC"
"CAT_9AP";"9AP"
"CAT_9BA";"9BA"
"CAT_9VR";"9VR"
"CAT_D**";"D**"
"CAT_9CR";"9CR"
"CAT_9CU";"9CU"
"CAT_2**";"2**"
"CAT_K91";"K91"
"CAT_MCA";"MCA"
"CAT_9CY";"9CY"
"CAT_2GA";"2GA"
"CAT_ZHD";"ZHD"
"CAT_9PN";"9PN"
"CAT_9PS";"9PS"
"CAT_80RDT";"80RDT"
"CAT_812";"812"
"CAT_9RA";"9RA"
"CAT_8A2";"8A2"
"CAT_9RH";"9RH"
"CAT_9SF";"9SF"
"CAT_9SS";"9SS"
"CAT_9SX";"9SX"
"CAT_1**";"1**"
"CAT_GZA";"GZA"
"CAT_H**";"H**"
"CAT_9CX";"9CX"
"CAT_MSE";"MSE"
"CAT_PAT";"PAT"
"CAT_503";"503"
"CAT_RDE";"RDE"
"CAT_534";"534"
"CAT_RFO";"RFO"
"CAT_541";"541"
"CAT_542";"542"
"CAT_543";"543"
"CAT_RIO";"RIO"
"CAT_9IN";"9IN"
"CAT_80R";"80R"
"CAT_9CI";"9CI"
"CAT_9CP";"9CP"
"CAT_9DA";"9DA"
"CAT_MDT";"MDT"
"CAT_9DE";"9DE"
"CAT_DPP";"DPP"
